title,index_movie
toy story,"[17812, 2283, 1688, 8219, 13162]"
jumanji,"[13017, 12980, 20081, 4657, 5986]"
grumpier old men,"[2528, 1046, 11560, 1152, 11757]"
waiting to exhale,"[1344, 10599, 6372, 1302, 519]"
father of the bride part ii,"[5094, 7700, 18832, 9348, 7619]"
heat,"[3583, 2439, 9477, 2797, 5883]"
sabrina,"[8232, 7410, 5077, 19401, 3805]"
tom and huck,"[1471, 6764, 493, 3760, 2104]"
sudden death,"[20181, 12333, 10360, 18170, 11304]"
goldeneye,"[2183, 2659, 2662, 2919, 2150]"
the american president,"[2442, 3729, 2338, 8057, 18753]"
dracula: dead and loving it,"[18379, 3575, 13484, 17166, 2534]"
balto,"[17142, 17230, 1688, 11051, 8086]"
nixon,"[20892, 2338, 14087, 7558, 7439]"
cutthroat island,"[4822, 17059, 14443, 2774, 18933]"
casino,"[18470, 4876, 3979, 7439, 2182]"
sense and sensibility,"[8057, 1348, 7902, 2442, 3951]"
four rooms,"[19436, 10604, 4358, 10190, 15290]"
ace ventura: when nature calls,"[8343, 11560, 3487, 20292, 2043]"
money train,"[1991, 7156, 9611, 3350, 9361]"
get shorty,"[7328, 6205, 4235, 14221, 7474]"
copycat,"[1154, 16390, 3507, 3646, 8874]"
assassins,"[9838, 6796, 2744, 3652, 3058]"
powder,"[4093, 15002, 567, 2929, 20892]"
leaving las vegas,"[13487, 3083, 1157, 14646, 10465]"
othello,"[9379, 18911, 13724, 10569, 6384]"
now and then,"[4984, 8394, 9116, 60, 16360]"
persuasion,"[5901, 12906, 4781, 2416, 9711]"
the city of lost children,"[12776, 19810, 14513, 79, 4317]"
shanghai triad,"[3946, 7969, 19311, 4775, 21598]"
dangerous minds,"[10803, 14795, 5091, 2206, 21333]"
twelve monkeys,"[9724, 4093, 1122, 19395, 6268]"
babe,"[2258, 173, 10245, 11148, 667]"
carrington,"[5085, 10267, 11170, 9581, 9198]"
dead man walking,"[1651, 10591, 2021, 2063, 14681]"
it takes two,"[1046, 17257, 11560, 85, 502]"
clueless,"[7318, 1076, 3225, 14795, 18551]"
"cry, the beloved country","[17407, 11214, 422, 1956, 20320]"
richard iii,"[2285, 6892, 2429, 14681, 1935]"
dead presidents,"[7439, 2338, 6422, 17248, 2199]"
restoration,"[14383, 13985, 18442, 15745, 4740]"
mortal kombat,"[13776, 1768, 4396, 12063, 13724]"
to die for,"[473, 2442, 5434, 3365, 8699]"
how to make an american quilt,"[9619, 1265, 4243, 8507, 2338]"
se7en,"[368, 13842, 2194, 3646, 5697]"
pocahontas,"[4347, 1688, 7031, 13748, 8774]"
when night is falling,"[16465, 17601, 19796, 9722, 2823]"
the usual suspects,"[11462, 13897, 16051, 16300, 10658]"
mighty aphrodite,"[5907, 16878, 12845, 3590, 17579]"
lamerica,"[2106, 18431, 3147, 16373, 18576]"
the big green,"[197, 16362, 10711, 13592, 5239]"
georgia,"[12692, 15101, 5162, 8226, 7274]"
home for the holidays,"[1141, 11904, 309, 10310, 13672]"
the postman,"[15439, 8642, 822, 7440, 16652]"
the indian in the cupboard,"[14488, 9294, 2311, 14443, 12]"
eye for an eye,"[75, 20325, 3552, 92, 3903]"
mr. holland's opus,"[19128, 10277, 5064, 2145, 8679]"
don't be a menace to south central while drinking your juice in the hood,"[15589, 17719, 10661, 11943, 13572]"
two bits,"[11943, 8226, 2982, 11307, 17120]"
french twist,"[7418, 6643, 21702, 4317, 12776]"
friday,"[21501, 1097, 1298, 13393, 19442]"
from dusk till dawn,"[19907, 14204, 4908, 17926, 11421]"
kicking and screaming,"[3258, 5256, 8232, 4866, 4817]"
les miserables,"[11826, 16365, 4623, 11540, 6451]"
bed of roses,"[1056, 4462, 20150, 11181, 3308]"
screamers,"[9317, 4186, 2759, 17236, 12390]"
the crossing guard,"[3712, 21676, 21355, 4630, 15582]"
the juror,"[18513, 473, 2503, 10252, 3552]"
the white balloon,"[13345, 14601, 17026, 2416, 11274]"
things to do in denver when you're dead,"[1747, 8226, 2329, 8932, 12357]"
antonia's line,"[21139, 12445, 15505, 10802, 6722]"
angels and insects,"[8740, 4617, 14850, 5288, 6442]"
white squall,"[7739, 18454, 6713, 1118, 3568]"
dunston checks in,"[5481, 7624, 8949, 8425, 1008]"
black sheep,"[5744, 6272, 1810, 2570, 10404]"
nick of time,"[55, 6183, 7112, 8299, 9131]"
mary reilly,"[15442, 2524, 3308, 14043, 398]"
beautiful girls,"[6194, 14380, 19897, 3729, 142]"
broken arrow,"[6569, 2784, 7624, 4678, 16861]"
la haine,"[15385, 17357, 17961, 4903, 17668]"
shopping,"[6111, 15230, 10395, 21423, 6359]"
city hall,"[4053, 8874, 297, 1272, 2563]"
bottle rocket,"[10658, 473, 2503, 7560, 11676]"
unforgettable,"[13925, 5608, 5030, 341, 8116]"
happy gilmore,"[7184, 20120, 2504, 12778, 2942]"
the bridges of madison county,"[1337, 7155, 5241, 17538, 13561]"
nobody loves me,"[19101, 17045, 15722, 18095, 15484]"
muppet treasure island,"[9517, 1480, 15018, 533, 1325]"
catwalk,"[8536, 13854, 18142, 20577, 19689]"
braveheart,"[5941, 3820, 19498, 9469, 6972]"
taxi driver,"[5434, 6365, 4005, 4080, 10658]"
rumble in the bronx,"[6940, 2518, 9488, 1866, 600]"
before and after,"[3552, 19878, 7439, 5081, 9271]"
happiness is in the field,"[17148, 21641, 11696, 7418, 10622]"
the young poisoner's handbook,"[11980, 21720, 828, 1584, 17981]"
if lucy fell,"[4271, 12361, 11822, 427, 5547]"
steal big steal little,"[8295, 6407, 109, 12202, 269]"
race the sun,"[3915, 3075, 3892, 3977, 18472]"
the boys of st. vincent,"[20534, 6356, 20030, 14969, 8675]"
boomerang,"[5547, 8996, 665, 2950, 3244]"
chungking express,"[11083, 15243, 6596, 14347, 6843]"
the star maker,"[13717, 11891, 9963, 16405, 17293]"
flirting with disaster,"[2892, 4977, 1247, 12024, 609]"
angela,"[16049, 5067, 20416, 14003, 1812]"
jade,"[624, 2270, 5205, 1249, 19254]"
down periscope,"[4330, 1302, 2540, 4120, 5483]"
up close & personal,"[269, 17436, 15321, 8740, 15442]"
